contenu,commentaire,tome,chapitre,scene,locuteur,characters,english,english_com
"— Comment ça s’est passé, les runes ? demanda Ron en bâillant.<br>— J’ai mal traduit ehwaz, répondit-elle, avec colère. Ça veut dire « association », pas « défense ». J’ai confondu avec eihwaz.<br>— Oui, bah, ce n’est qu’une simple erreur, commenta Ron d’une voix nonchalante. Ça ne t’empêchera pas de…<br>— Oh, tais-toi ! répliqua Hermione, furieuse. C’est le genre d’erreur qui peut faire la différence entre un succès et un échec.",,5,31,0,"Ron Weasley, Hermione Granger","Ron Weasley, Hermione Granger",,
"— De toute façon, celui-là, c’était sûr qu’on le raterait, dit Ron d’un air lugubre tandis qu’ils montaient l’escalier de marbre.<br>Il consola un peu Harry en lui racontant comment il avait décrit en détail l’image d’un homme très laid, affligé d’une grosse verrue sur le nez, qu’il voyait nettement dans la boule de cristal avant de s’apercevoir qu’il s’agissait du visage de l’examinateur dont le reflet lui apparaissait à la surface de la sphère.",A propos de l'épreuve de Divination des BUSE ,5,31,0,Ron Weasley,"Ron Weasley, Harry Potter",,
"Il éprouvait à l’égard d’Ombrage une telle fureur qu’il ne pouvait imaginer de châtiment assez féroce contre elle, bien que la suggestion de Ron de la livrer à une bande de Scroutts à pétard affamés ne lui parût pas sans mérites.",,5,31,0,Narrateur,"Harry Potter, Dolores Ombrage, Ron Weasley",,
"— Je veux que vous me fournissiez une potion qui le forcera à me révéler la vérité !<br>— Je vous ai déjà dit, répondit Rogue avec douceur, qu’il ne me reste plus de Veritaserum. À moins que vous ne souhaitiez empoisonner Potter - et je puis vous assurer qu’une telle tentative m’inspirerait la plus grande sympathie - il m’est impossible de vous aider. Le seul ennui, c’est que la plupart des venins agissent trop vite pour laisser à la victime le temps de dire tout ce qu’elle sait.",,5,32,0,"Dolores Ombrage, Severus Rogue","Dolores Ombrage, Severus Rogue, Harry Potter",,
"— Il a pris Patmol ! s’écria-t-il. Il a emmené Patmol là où la chose est cachée !<br>Rogue s’était immobilisé, la main sur la poignée de la porte.<br>— Patmol ? s’exclama le professeur Ombrage en regardant successivement Harry et Rogue d’un oeil avide. Qui est Patmol ? Où est cette chose cachée ? Que veut-il dire, Rogue ?<br>Rogue se tourna vers Harry, le visage insondable. Harry ignorait s’il avait compris ou pas mais il n’osait pas s’exprimer plus clairement devant Ombrage.<br>— Je n’en ai aucune idée, répondit Rogue d’un ton glacial. Potter, quand j’aurai envie de vous entendre crier des paroles sans queue ni tête, je vous donnerai une potion de Babillage. Et vous, Crabbe, desserrez un peu votre prise. Si Londubat meurt étouffé, il faudra remplir tout un tas de paperasses et en plus, j’ai bien peur d’avoir à le mentionner dans vos références quand vous chercherez un emploi.",,5,32,0,"Harry Potter, Severus Rogue, Dolores Ombrage","Harry Potter, Severus Rogue, Dolores Ombrage, Vincent Crabbe, Neville Londubat",,
"— L’arme est cachée dans la cabane de Hagrid, c’est cela ? demanda Ombrage, impatiente, à l’oreille de Harry.<br>— Bien sûr que non, répondit Hermione d’un ton cinglant. Hagrid aurait pu la déclencher accidentellement.<br>— Oui, dit Ombrage, de plus en plus excitée. Oui, bien sûr, c’était le risque avec cet hybride imbécile.",,5,33,0,"Dolores Ombrage, Hermione Granger","Dolores Ombrage, Hermione Granger, Rubeus Hagrid",,
"— C’est de la folie, murmura Ron en passant précautionneusement la main le long de l’encolure du cheval. Une vraie folie… Si seulement je pouvais le voir…<br>— Espère plutôt que tu ne le verras jamais, dit sombrement Harry.",A propos des Sombrals,5,34,0,"Ron Weasley, Harry Potter","Ron Weasley, Harry Potter",,
"— Vous savez ce qu’il y a peut-être, là-dedans ? dit Luna d’un air gourmand, alors que le mur se remettait à tourner.<br>— Un gros truc à babille, sans doute, murmura Hermione.",,5,34,0,"Luna Lovegood, Hermione Granger","Luna Lovegood, Hermione Granger",,
"—  C’est Londubat, n’est-ce pas ? dit Lucius Malefoy d’un ton narquois. Ta grand-mère a l’habitude de perdre des membres de sa famille pour les besoins de notre cause… Ta mort ne représentera pas un grand choc pour elle.",,5,35,0,Lucius Malefoy,"Lucius Malefoy, Neville Londubat, Augusta Londubat",,
"—  SIRIUS ! hurla Harry. SIRIUS !<br>Sa respiration était brûlante, saccadée. Sirius devait se trouver juste derrière le rideau, Harry allait le sortir de là…<br>Mais lorsqu’il se précipita vers le socle de pierre, Lupin l’attrapa fermement et lui enserra la poitrine de ses bras pour l’empêcher d’aller plus loin.<br>—  Tu ne peux rien faire, Harry…<br>—  Il faut aller le chercher, le sauver, il est simplement passé de l’autre côté !<br>—  Il est trop tard, Harry.<br>— On peut encore le rattraper.<br>Harry se débattait avec une violence rageuse mais Lupin ne le lâchait pas.<br>—  Tu ne peux rien faire, Harry… Rien… C’est fini pour lui.",,5,35,0,"Harry Potter, Remus Lupin","Harry Potter, Remus Lupin, Sirius Black",,
"Une haine telle qu’il n’en avait jamais ressenti auparavant monta en lui. Il bondit hors de sa cachette et lança :<br>— Endoloris !<br>Bellatrix poussa un cri. Le maléfice l’avait jetée à terre mais elle ne se tortilla pas en hurlant de douleur, comme l’avait fait Neville. [...]<br>— C’est la première fois que tu lances un Sortilège Impardonnable, n’est-ce pas, mon garçon ? hurla-t-elle.<br>Elle avait renoncé à sa voix de bébé.<br>— Il faut vraiment vouloir la souffrance de l’autre, Potter ! Et y prendre plaisir. La juste et sainte colère n’aura pas beaucoup d’effet sur moi.",,5,36,0,"Harry Potter, Bellatrix Lestrange","Harry Potter, Bellatrix Lestrange, Neville Londubat",,
"— En vérité, ton incapacité à comprendre qu’il existe des choses bien pires que la mort a toujours constitué ta plus grande faiblesse…",Dumbledore à Voldemort,5,36,0,Albus Dumbledore,"Albus Dumbledore, Lord Voldemort",,
"— Cornélius, je suis prêt à affronter vos hommes - et à les vaincre une fois de plus ! tonna Dumbledore. Mais, il y a quelques minutes, vous avez eu devant les yeux la preuve que, depuis un an, je vous disais la vérité. Lord Voldemort est revenu, vous avez recherché pendant douze mois un homme qui n’était pas coupable et il serait temps que vous redeveniez raisonnable !<br>— Je… Ne… Bon…, bégaya Fudge.",,5,36,0,"Albus Dumbledore, Cornelius Fudge","Albus Dumbledore, Cornelius Fudge, Lord Voldemort, Sirius Black",,
"— Il n’y a aucune honte à éprouver de tels sentiments, Harry, dit Dumbledore derrière lui. Au contraire… Le fait que tu sois capable de ressentir une telle douleur constitue ta plus grande force.",,5,37,0,Albus Dumbledore,"Albus Dumbledore, Harry Potter",,
"— Kreattur est un immonde… menteur… il mérite… <br>— Kreattur est ce que les sorciers en ont fait, Harry, répondit Dumbledore. [...] Sirius ne détestait pas Kreattur, il le considérait simplement comme un serviteur qui ne mérite pas beaucoup d’intérêt. L’indifférence, la négligence, font parfois beaucoup plus de dégâts que l’hostilité déclarée… La fontaine que nous avons détruite cette nuit racontait un mensonge. Nous les sorciers avons maltraité trop longtemps les êtres qui nous sont proches et nous récoltons aujourd’hui ce que nous avons semé.",,5,37,0,"Harry Potter, Albus Dumbledore","Harry Potter, Albus Dumbledore, Sirius Black, Kreattur",,
"— Je te ménageais trop, dit simplement Dumbledore. Je me souciais davantage de ton bonheur que de t’apprendre la vérité, davantage de ta tranquillité d’esprit que de mon plan, davantage de ta vie que des autres vies qui seraient peut-être perdues si ce plan échouait. En d’autres termes, j’ai agi exactement comme Voldemort s’attend à ce que nous agissions, nous, les imbéciles qui éprouvons des sentiments d’amour.",,5,37,0,Albus Dumbledore,"Albus Dumbledore, Lord Voldemort, Harry Potter",,
"— Et la fin de la prophétie… C’était quelque chose comme : « aucun d’eux ne peut vivre…»<br>— … « tant que l’autre survit », acheva Dumbledore.<br>— Alors, dit Harry en allant chercher ses mots au fond du gouffre que le désespoir avait ouvert en lui, cela signifie que… qu’à la fin… l’un de nous deux devra tuer l’autre ?<br>— Oui, répondit Dumbledore.",,5,37,0,"Harry Potter, Albus Dumbledore","Harry Potter, Albus Dumbledore, Lord Voldemort",,
"— Ça y est, il est redevenu « le Survivant ». Ce n’est plus un cinglé qui cherche uniquement à se faire remarquer.",Ron à propos d'Harry et de son traitement par les médias,5,38,0,Ron Weasley,"Ron Weasley, Harry Potter",,
"— « La dernière tentative de Vous-Savez-Qui pour prendre le pouvoir, pages 2 à 4. Ce que le ministère aurait dû nous dire, page 5. Pourquoi personne n’a écouté Albus Dumbledore, pages 6 à 8. Une interview exclusive de Harry Potter, page 9…» Eh bien, dit Hermione en repliant le journal qu’elle jeta à côté d’elle, au moins, ils ont de quoi écrire, maintenant. Mais l’interview de Harry n’a rien d’exclusif, c’est celle qui a paru dans Le Chicaneur, il y a plusieurs mois.<br>— Papa la leur a vendue, dit Luna de son ton absent en tournant une page du Chicaneur. Il en a tiré un bon prix, alors on va pouvoir organiser une expédition en Suède, cet été, pour essayer d’attraper un Ronflak Cornu.<br>Hermione sembla se faire violence pendant un instant, puis elle répondit :<br>— En voilà, une bonne idée.",,5,38,0,"Hermione Granger, Luna Lovegood","Hermione Granger, Luna Lovegood, Harry Potter, Xenophilius Lovegood",,
"— Flitwick a débarrassé le couloir du marécage de Fred et George, raconta Ginny. Il a fait ça en trois secondes mais il en a laissé un petit carré sous la fenêtre, entouré par un cordon…<br>— Pourquoi ? s’étonna Hermione.<br>— Il a dit que c’était vraiment de la très belle magie, répondit Ginny en haussant les épaules.<br>— Je pense qu’il a voulu en faire un monument à Fred et à George, commenta Ron, la bouche pleine de chocolat.",,5,38,0,"Ginny Weasley, Ron Weasley, Hermione Granger","Ginny Weasley, Ron Weasley, Hermione Granger, Fred Weasley, George Weasley, Filius Flitwick",,
"— Tu vas payer, dit Malefoy d’une voix qui n’était plus qu’un murmure. C’est moi qui te ferai payer ce que tu as fait à mon père.<br>— Me voilà terrifié, répliqua Harry d’un ton sarcastique. J’imagine que Lord Voldemort n’est qu’un hors-d’oeuvre à côté de vous trois. Eh bien, qu’est-ce qu’il y a ? ajouta-t-il en voyant Malefoy, Crabbe et Goyle horrifiés à l’évocation du nom. C’est un copain de ton père, non ? Tu n’as pas peur de lui, quand même ?",,5,38,0,"Drago Malefoy, Harry Potter","Drago Malefoy, Harry Potter, Vincent Crabbe, Gregory Goyle",,
"— Qu’est-ce que vous faites, Potter ? dit Rogue du ton glacial qui lui était coutumier tandis qu’il s’approchait d’eux à grands pas.<br>— Je suis en train de me demander quel maléfice je vais lancer à Malefoy, monsieur, répondit Harry d’un ton féroce.",,5,38,0,"Severus Rogue, Harry Potter","Severus Rogue, Harry Potter, Drago Malefoy",,
"Il lui était toujours très difficile de croire qu’un meurtre se produirait inéluctablement dans sa vie, qu’un moment viendrait où il lui faudrait tuer ou être tué…",Pensée de Harry,5,38,0,Harry Potter,"Harry Potter, Lord Voldemort",,
"Malefoy, Crabbe et Goyle, qui avaient manifestement attendu toute la semaine l’occasion de pouvoir frapper loin du regard des professeurs, tendirent une embuscade à Harry en plein milieu du train, au moment où il revenait des toilettes. L’attaque aurait pu réussir s’ils n’avaient eu l’idée de la déclencher devant un compartiment rempli de membres de l’A.D. qui, voyant la scène à travers la vitre, se levèrent d’un même mouvement pour se précipiter au secours de Harry. Lorsque Ernie Macmillan, Hannah Abbot, Susan Bones, Justin Finch-Fletchley, Anthony Goldstein et Terry Boot eurent fini de faire pleuvoir sur eux une large variété de sortilèges et de maléfices que Harry leur avait enseignés, Malefoy, Crabbe et Goyle ressemblaient à trois gigantesques limaces boudinées dans un uniforme de Poudlard. Harry, Ernie et Justin les hissèrent dans le filet à bagages et les laissèrent là, gluants et visqueux.<br>— Je dois dire que j’attends avec impatience de voir la tête que va faire la mère de Malefoy quand son fils descendra du train, commenta Ernie d’un ton satisfait en regardant Malefoy se tortiller au-dessus de lui.[...]<br>— La mère de Goyle sera beaucoup plus contente, dit Ron qui était venu voir d’où venait tout ce bruit. Il est beaucoup mieux comme ça…",,5,38,0,"Ernie Macmillan, Ron Weasley","Drago Malefoy, Vincent Crabbe, Gregory Goyle, Harry Potter, Ernie Macmillan, Hannah Abbot, Susan Bones, Justin Finch-Fletchley, Anthony Goldstein, Terry Boot, Ron Weasley",,
"— Et avec qui elle est, maintenant ? demanda Ron à Hermione, mais ce fut Ginny qui répondit.<br>— Michael Corner, dit-elle.<br>— Michael, mais…, s’étonna Ron en tendant le cou pour mieux la voir. C’est toi qui sortais avec lui !<br>— Plus maintenant, assura Ginny. Il n’était pas content que Gryffondor ait battu Serdaigle au Quidditch. Il faisait tout le temps la tête, alors je l’ai laissé tomber et il s’est consolé avec Cho.<br>Elle se gratta le nez d’un air distrait avec l’extrémité de sa plume, retourna Le Chicaneur et commença à cocher les réponses à son jeu. Ron parut enchanté.<br>— J’ai toujours pensé qu’il était un peu idiot, dit-il en avançant sa reine vers une tour de Harry. (La tour se mit à trembler.) C’est très bien pour toi, la prochaine fois, tu choisiras peut-être quelqu’un… de mieux.<br>Il jeta à Harry un coup d’oeil étrangement furtif.<br>— Maintenant, j’ai choisi Dean Thomas. Tu le trouves mieux ? demanda Ginny d’un ton absent.<br>— QUOI ? s’écria Ron en renversant l’échiquier.",,5,38,0,"Ron Weasley, Ginny Weasley","Ron Weasley, Ginny Weasley, Hermione Granger, Harry Potter, Michael Corner, Cho Chang, Dean Thomas",,
"— Bonjour, dit Mr Weasley d’un ton aimable à l’oncle Vernon en s’arrêtant devant lui. Vous vous souvenez peut-être de moi ? Je m’appelle Arthur Weasley.<br>Mr Weasley ayant à moitié démoli à lui tout seul le salon des Dursley deux ans auparavant, Harry aurait été surpris que l’oncle Vernon l’ait oublié si facilement. [...] Dudley, s’efforçait de paraître tout petit et insignifiant, un exploit qu’il était totalement incapable d’accomplir.",,5,38,0,Arthur Weasley,"Arthur Weasley, Vernon Dursley, Harry Potter, Dudley Dursley",,
"— Ne vous inquiétez pas, avait-il répété. Il y a tout à parier que vous ne me reverrez plus. Je ne viendrai vous embêter que s’il se passe quelque chose de vraiment grave de notre côté, quelque chose qui risque d’affecter les Moldus – ou plutôt la population non magique, devrais-je dire. Sinon, que chacun mène sa vie sans s’occuper des autres. Je dois reconnaître que vous prenez cela beaucoup mieux que votre prédécesseur. Lui a essayé de me jeter par la fenêtre, il pensait qu’il s’agissait d’un canular monté par l’opposition.",Cornelius Fudge au Premier Ministre Moldu,6,1,0,Cornelius Fudge,"Cornelius Fudge, Premier Ministre",,
"— Dans ce cas, avait repris le Premier Ministre d’une voix chevrotante, pourquoi un ancien Premier Ministre ne m’a-t-il pas averti…<br>Fudge avait franchement éclaté de rire.<br>— Mon cher Premier ministre, allez-vous, vous-même, raconter cela à quelqu’un ?",,6,1,0,"Cornelius Fudge, Premier Ministre","Cornelius Fudge, Premier Ministre",,
"— Ah, j’allais oublier, avait ajouté Fudge. Nous allons faire venir de l’étranger trois dragons et un sphinx pour le Tournoi des Trois Sorciers, simple routine, mais le Département de contrôle et de régulation des créatures magiques m’a rappelé que le règlement obligeait à vous avertir lorsqu’on amène dans le pays des animaux hautement dangereux.<br>— Je… Quoi ? Des dragons ? balbutia le Premier Ministre.<br>— Oui, trois, répondit Fudge. Et un sphinx. Voilà, bonne journée.",,6,1,0,"Cornelius Fudge, Premier Ministre","Cornelius Fudge, Premier Ministre",,
"À sa grande surprise, le Premier Ministre éprouva pour Fudge un élan fugitif de compassion qui fit place presque aussitôt à un sentiment de supériorité : peut-être n’était-il pas très doué pour surgir des cheminées mais au moins, il n’y avait jamais eu de meurtre dans aucun ministère sous son gouvernement… pas encore en tout cas…",,6,1,0,Narrateur,"Cornelius Fudge, Premier Ministre",,
"— Mon cher Premier Ministre, vous n’allez quand même pas penser que je suis toujours ministre de la Magie après tout cela ? J’ai été remercié il y a trois jours ! La communauté des sorciers au complet a hurlé pendant deux semaines pour exiger ma démission. Je ne les avais jamais vus aussi unis tout au long de mon mandat ! dit Fudge en essayant courageusement de sourire.",,6,1,0,Cornelius Fudge,"Cornelius Fudge, Premier Ministre",,
"— Je suis parfaitement satisfait des mesures de sécurité qui m’entourent, merci beau…<br>— Eh bien, pas nous, coupa Scrimgeour. Il serait fort regrettable pour les Moldus que leur Premier Ministre soit soumis au sortilège de l’Imperium. Le nouveau secrétaire, dans le bureau d’accueil…<br>— Il n’est pas question que je me sépare de Kingsley Shacklebolt, si c’est ce que vous entendez par là ! protesta le Premier Ministre avec fougue. Il est très efficace et accomplit deux fois plus de travail que tous les autres…<br>— Parce que c’est un sorcier, dit Scrimgeour sans l’ombre d’un sourire. Un Auror d’élite à qui nous avons confié le soin de vous protéger.",,6,1,0,"Rufus Scrimgeour, Premier Ministre","Rufus Scrimgeour, Premier Ministre, Kingsley Shacklebolt",,
"— Voyons, pour l’amour du ciel… vous êtes des sorciers ! Vous pratiquez la magie ! Vous êtes sûrement capables d’arranger… tout ce qui se passe !<br>Scrimgeour tourna lentement sur lui-même et échangea un regard incrédule avec Fudge qui parvint cette fois à sourire en répondant d’un ton aimable :<br>— L’ennui, monsieur le Premier Ministre, c’est que l’autre camp aussi pratique la magie.",,6,1,0,"Premier Ministre, Cornelius Fudge","Premier Ministre, Cornelius Fudge, Rufus Scrimgeour",,
"— Je sais qu’il te croit, mais…<br>— Tu penses qu’il se trompe ? Que j’aurais réussi à le berner ? À duper le Seigneur des Ténèbres, le plus grand sorcier, le legilimens le plus accompli que le monde ait jamais connu ?",Severus Rogue à Bellatrix Lestrange,6,2,0,"Severus Rogue, Bellatrix Lestrange","Severus Rogue, Bellatrix Lestrange, Lord Voldemort",,
"— Tu demandes pourquoi je n’ai pas essayé de le retrouver quand il a disparu. Pour la même raison qu’Avery, Yaxley, les Carrow, Greyback, Lucius – il inclina légèrement la tête vers Narcissa – et bien d’autres qui, eux non plus, n’ont pas cherché à le retrouver. Je le croyais fini. Je ne suis pas fier de l’avouer, je me suis trompé, mais c’est ainsi… S’il ne nous avait pas pardonné, à nous qui avions perdu foi à cette époque, il ne lui serait resté que très peu de fidèles.<br>— Il m’aurait eue moi ! dit Bellatrix avec passion. Moi qui ai passé tant d’années à Azkaban pour lui !<br>— Oui, en effet, c’est admirable, répondit Rogue d’une voix teintée d’ennui. Bien sûr, tu ne lui as pas été très utile en prison mais le geste était beau, sans nul doute…",,6,2,0,"Severus Rogue, Bellatrix Lestrange","Severus Rogue, Narcissa Malefoy, Bellatrix Lestrange, Lord Voldemort, Avery, Yaxley, Amycus Carrow, Alecto Carrow, Fenrir Greyback, Lucius Malefoy",,
"— Une fois de plus [dit Bellatrix], tu étais absent pendant que les autres affrontaient le danger [au Ministère], n’est-ce pas, Rogue ?<br>— J’avais reçu l’ordre de rester en arrière. Peut-être n’es-tu pas d’accord avec le Seigneur des Ténèbres, peut-être penses-tu que Dumbledore n’aurait rien remarqué si j’avais combattu l’Ordre du Phénix aux côtés des Mangemorts ? Et – pardonne-moi – mais quand tu parles de danger… vous aviez en face de vous six adolescents, je crois ?",,6,2,0,"Severus Rogue, Bellatrix Lestrange","Severus Rogue, Bellatrix Lestrange, Lord Voldemort, Albus Dumbledore, Harry Potter, Hermione Granger, Ron Weasley, Neville Londubat, Ginny Weasley, Luna Lovegood",,
"— Et avec tout ça, nous sommes censés croire que Dumbledore ne t’a jamais soupçonné ? demanda Bellatrix. Il n’a aucune idée de ta véritable allégeance, il continue aveuglément à te faire confiance ?<br>— J’ai bien joué mon rôle, répondit Rogue. Et tu oublies la plus grande faiblesse de Dumbledore : il voit toujours les gens meilleurs qu’ils ne sont.",,6,2,0,"Bellatrix Lestrange, Severus Rogue","Bellatrix Lestrange, Severus Rogue, Albus Dumbledore",,
"— À en juger par votre expression de franche incrédulité, Harry ne vous a pas averti de mon arrivée, dit aimablement Dumbledore. Mais faisons comme si vous m’aviez chaleureusement invité à entrer chez vous. Il n’est guère prudent de s’attarder longtemps sur le seuil d’une maison en ces temps troublés.",Dumbledore aux Dursley,6,3,0,Albus Dumbledore,"Albus Dumbledore, Harry Potter, Vernon Dursley, Pétunia Dursley, Dudley Dursley",,
"— Ah, bonsoir, Harry, lança Dumbledore en le regardant derrière ses lunettes en demi-lune avec un air de grande satisfaction. Très bien, parfait.<br>Ces paroles eurent le don d’échauffer l’oncle Vernon.<br>Jamais il ne pourrait s’entendre avec quelqu’un qui regardait Harry en disant « très bien, parfait ».<br>— Je ne voudrais pas paraître impoli…, commença-t-il d’un ton où l’impolitesse menaçait à chaque mot.<br>— … malheureusement, l’impolitesse accidentelle se manifeste à une fréquence alarmante, acheva Dumbledore avec gravité. Et dans ces cas-là, mon cher monsieur, il vaut mieux ne rien dire du tout.",,6,3,0,"Albus Dumbledore, Vernon Dursley","Albus Dumbledore, Vernon Dursley, Harry Potter",,
"— Je pensais que vous alliez me proposer des rafraîchissements, dit Dumbledore à l’oncle Vernon, mais d’après ce que j’ai pu observer jusqu’à présent, il semble que ce serait d’un optimisme proche de la sottise.",,6,3,0,Albus Dumbledore,"Albus Dumbledore, Vernon Dursley",,
"Il y eut alors un crac sonore et un elfe de maison apparut, avec un groin en guise de nez, des oreilles géantes de chauve-souris et des yeux immenses injectés de sang. Couvert de haillons crasseux, il était accroupi sur la moquette à longs poils des Dursley. La tante Pétunia poussa un hurlement à faire dresser les cheveux sur la tête : de mémoire d’homme, rien d’aussi sale n’était jamais entré dans sa maison. Dudley leva du sol ses grands pieds roses et les tendit presque au-dessus de sa tête comme s’il avait peur que la créature puisse se glisser dans son pantalon de pyjama.",,6,3,0,Narrateur,"Kreattur, Pétunia Dursley, Dudley Dursley",,
"— Comme vous le savez sûrement, Harry sera majeur dans un an.<br>— Non, répliqua tante Pétunia qui ouvrait la bouche pour la première fois depuis l’arrivée de Dumbledore.<br>— Pardon ? s’étonna celui-ci d’un ton poli.<br>— Non, car il a un mois de moins que Dudley et Duddy aura dix-huit ans dans deux ans.<br>— Ah oui, bien sûr, reprit Dumbledore d’un air affable, mais dans le monde de la sorcellerie, il se trouve que nous sommes majeurs à dix-sept ans.<br>— Ridicule, marmonna l’oncle Vernon, sans que Dumbledore lui prête la moindre attention.",,6,3,0,"Albus Dumbledore, Vernon Dursley, Pétunia Dursley","Albus Dumbledore, Vernon Dursley, Pétunia Dursley, Harry Potter, Dudley Dursley",,
"— Vous n’avez pas fait ce que je demandais. Jamais vous n’avez traité Harry comme un fils. Avec vous, il n’a connu que l’indifférence et même souvent la cruauté. Le mieux qu’on puisse dire, c’est qu’au moins il n’aura pas subi les terribles dommages infligés au malheureux garçon assis entre vous.<br>La tante Pétunia et l’oncle Vernon tournèrent instinctivement la tête comme s’ils s’attendaient à voir quelqu’un d’autre que Dudley coincé entre eux.<br>— Nous… maltraiter Duddy ? Qu’est-ce que vous…, commença l’oncle Vernon, furieux, mais Dumbledore leva un doigt pour lui imposer le silence, et l’oncle Vernon sembla soudain devenu muet.",,6,3,0,"Albus Dumbledore, Vernon Dursley","Albus Dumbledore, Vernon Dursley, Dudley Dursley, Pétunia Dursley, Harry Potter",,
"- À présent, Harry, sortons dans la nuit noire à la poursuite de cette fantasque tentatrice, l’aventure.",Dumbledore à Harry,6,3,0,Albus Dumbledore,"Albus Dumbledore, Harry Potter",,
"— Si nous sommes attaqués, répondit Dumbledore, je te donne l’autorisation de recourir à tous les antisorts et contre-maléfices qui te viendront à l’esprit. Mais je crois que nous n’avons pas à craindre d’attaque, cette nuit.<br>— Pourquoi, monsieur ?<br>— Parce que tu es avec moi, dit simplement Dumbledore. Ce devrait être suffisant.",Dumbledore à Harry,6,4,0,"Albus Dumbledore, Harry Potter","Albus Dumbledore, Harry Potter",,
"Harry se rendit compte qu’il venait de transplaner pour la première fois de sa vie.<br>— Ça va ? demanda Dumbledore en le regardant avec sollicitude. Il faut un peu de temps pour s’habituer à la sensation.<br>— Ça va très bien, répondit Harry.<br>Il frotta ses oreilles qui lui donnaient l’impression de n’avoir quitté Privet Drive qu’à contrecoeur.<br>— Mais je crois que je préfère les balais.",,6,4,0,"Albus Dumbledore, Harry Potter","Albus Dumbledore, Harry Potter",,
"— La plupart des demeures magiques sont protégées contre les transplaneurs indésirables. À Poudlard, par exemple…<br>— On ne peut transplaner nulle part, ni dans le château ni dans le parc, acheva précipitamment Harry. C’est Hermione Granger qui me l’a dit.<br>— Et elle a tout à fait raison. On tourne encore à gauche.",,6,4,0,"Albus Dumbledore, Harry Potter","Albus Dumbledore, Harry Potter, Hermione Granger",,
"Il avait tendu sa main blessée pour montrer l’endroit.<br>— Professeur, qu’avez-vous à votre…<br>— Je n’ai pas le temps de te l’expliquer maintenant, répondit Dumbledore. Il s’agit d’une histoire palpitante, je ne voudrais pas la gâcher en la racontant trop vite.",,6,4,0,"Albus Dumbledore, Harry Potter","Albus Dumbledore, Harry Potter",,
"— Tu ne m’as pas demandé, par exemple, quelle est la confiture que je préfère, afin de vérifier que je suis bien le professeur Dumbledore et non un imposteur.<br>— Je n’ai pas…, commença Harry, sans très bien savoir si c’était ou non un reproche.<br>— Pour que tu le saches à l’avenir, je te signale que c’est la confiture de framboises… mais bien sûr, si j’étais un Mangemort, j’aurais cherché quelle était ma confiture préférée avant de me faire passer pour moi.",A propos de la brochure du ministère de la Magie,6,4,0,"Albus Dumbledore, Harry Potter","Albus Dumbledore, Harry Potter",,
"— Le professeur Ombrage s’est attiré les foudres de notre troupeau de centaures, expliqua Dumbledore. Je crois que toi, tu n’aurais pas commis l’imprudence d’aller dans la Forêt interdite et de traiter de « répugnants hybrides » une horde de centaures furieux.<br>— Elle a fait ça ? s’étonna Slughorn. Quelle idiote. Je ne l’ai jamais beaucoup aimée.<br>Entendant Harry pouffer de rire, Dumbledore et Slughorn se tournèrent tous deux vers lui.<br>— Désolé, dit Harry. Simplement… moi non plus, je ne l’aimais pas beaucoup.",,6,4,0,"Albus Dumbledore, Harry Potter, Horace Slughorn","Albus Dumbledore, Harry Potter, Horace Slughorn, Dolores Ombrage",,
"— Bien sûr, votre mère était née moldue. Je n’y croyais pas quand je l’ai découvert. Je pensais qu’elle était de sang pur. Elle était tellement douée.<br>— L’une de mes plus proches amies a des parents moldus, dit Harry, et c’est la meilleure élève de notre année.<br>— Curieux comme cela arrive parfois, vous ne trouvez pas ? remarqua Slughorn.<br>— Pas vraiment, répondit froidement Harry.",,6,4,0,"Harry Potter, Horace Slughorn","Harry Potter, Horace Slughorn, Lily Potter, Hermione Granger",,
"— Quoi qu’il en soit, par les temps qui courent, un sorcier avisé a tout intérêt à garder un profil bas. Dumbledore peut bien faire de beaux discours, mais prendre un poste à Poudlard aujourd’hui reviendrait à déclarer publiquement son allégeance à l’Ordre du Phénix ! Et bien que je les trouve admirables, d’un courage extraordinaire et tout ce qu’on voudra, leur taux de mortalité me laisse un peu perplexe…",Slughorn à Harry,6,4,0,Horace Slughorn,"Albus Dumbledore, Horace Slughorn",,
"Dumbledore revint dans la pièce et Slughorn sursauta comme s’il avait oublié qu’il était dans la maison.<br>— Ah, tu es là, Albus, dit-il. Tu es resté absent longtemps. Des problèmes d’estomac ?<br>— Non, je lisais simplement des magazines moldus, répondit Dumbledore. J’adore ces modèles de tricot.",,6,4,0,"Albus Dumbledore, Horace Slughorn","Albus Dumbledore, Horace Slughorn",,
"— Horace avait constitué une sorte de club où il rassemblait ses élèves préférés et dont il était le centre, faisant les présentations, établissant des contacts utiles entre ses membres et récoltant toujours un quelconque avantage en échange, que ce soit une boîte d’ananas confits ou l’occasion de recommander un jeune collaborateur au Bureau de liaison des gobelins.<br>Harry eut soudain la vision saisissante d’une grosse araignée qui tissait sa toile autour d’elle, secouant un fil ici ou là pour rapprocher ses grosses mouches bien juteuses.",,6,4,0,Albus Dumbledore,"Albus Dumbledore, Harry Potter, Horace Slughorn",,
"— Il est cruel, reprit Dumbledore d’une voix douce, que Sirius et toi ayez passé si peu de temps ensemble. Une fin brutale à des liens qui auraient pu durer longtemps et vous apporter de grandes joies.",,6,4,0,Albus Dumbledore,"Albus Dumbledore, Harry Potter, Sirius Black",,
